Name,Status,Channel,Date created,Last Modified,Publisher,Publisher Type,Version,Owner,Description,Platform,Creator Id,Environment Id,Bot Id,Custom actions,Title ID,Sensitivity,Can read OneDrive and Sharepoint items,OneDrive and Sharepoint items,Can read OneDrive files,OneDrive files,OneDrive sites,Can read Sharepoint sites and files,Sharepoint files,Sharepoint sites,Can extend to Graph connector,Graph connector details,Can generate images using user prompt,Can use code interpreter,Contains uploaded files,Uploaded files,Instructions
"Adobe Acrobat for Microsoft Teams, Outlook, and Copilot",Available,Teams;Copilot;Outlook;Office,2024-08-23 15:00:04Z,2026-06-01 13:49:39Z,Roger NGUYEN,ThirdParty,4.0.0,,"Work with PDFs directly within Microsoft Copilot across Microsoft 365 Copilot app, Teams, Word, Excel, and PowerPoint. When you open or reference a PDF in Copilot, Acrobat’s trusted PDF technology powers document actions within the conversational flow — without switching apps.      High quality viewing — Read high-fidelity PDFs directly within Copilot.   Edit and organize — Edit, export, extract, redact, compress, convert, or reorganize pages using Acrobat tools.   Seamless handoff — Continue deeper editing in Acrobat on the web with context preserved.      Tenant admins can set Adobe Acrobat app as the default PDF viewer in Teams by setting a policy on Teams Admin Center to install the app on user's client. Instructions on how to do this are available <a href=""https://www.adobe.com/go/acroteams_fh_help"" target=""_blank"">here</a>.       Admins can also configure the end user experience from the <a href="" https://helpx.adobe.com/in/document-cloud/help/configure-acrobat-experience-microsoft-teams.html"" target=""_blank""> Admin configuration portal</a>.     <p><b>Free-to-use features:</b></p>        <ul>         <li>High-quality viewing – the only PDF viewing experience that lets you open high-fidelity PDFs directly within Teams, Outlook and Microsoft 365 (Office), for a satisfying and seamless work experience.</li>        <li>Central access to PDFs – Files shared in Teams Channels and Chats, or files stored in OneDrive or your computer, available centrally in Teams to work on.</li>       <li>Streamline PDF review —Collect channel members' feedback in a single PDF directly in Teams instead of gathering and reconciling feedback via multiple attachments.* </li>       <li>Keep reviewers informed — Reviewers get notified when others reply to their comments.</li>        <li>Collaborate with confidence – Collaborate securely with trusted members and retain the ability to store document versions in Microsoft SharePoint or OneDrive.**</li>        </ul>        <b>Premium features (require Acrobat subscription):</b>        <ul>        <li>If you do not have an existing Acrobat subscription, subscribe now to unlock these features right within Acrobat in Teams, Outlook and Microsoft 365 (Office). </li>        <li>Convert PDFs to Word, Excel, and PowerPoint, or Image</li>        <li>Combine multiple documents and file types into one PDF file</li>       <li>Delete, rotate, extract, insert or reorder pages of a PDF</li>        <li>Reduce the size of your PDF for easier sharing</li>        <li>Add a password to protect your PDF</li>        </ul>        <p><strong>Acrobat AI Assistant features (requires </strong><a href=""https://www.adobe.com/acrobat/generative-ai-pdf.html#compare-plans""><strong>AI Assistant add-on</strong></a><strong>):</strong></p>       <p>Al Assistant for Adobe Acrobat is a conversational feature that lets you interact with your documents to get quick answers to questions based on your PDF content in a comprehensive and informative way.</p>       <ul>        <li>Insights you can trust — AI Assistant looks only at the documents you tell it to. And by generating verifiable insights with attributions back to the source, you can be assured you are accessing credible information.</li>        <li>Writing made easy — Empower your team to rapidly create high-quality professional content for emails, blogs, presentations, research summaries, and more. Use the responses AI Assistant generated from your documents to get the write-up you need and produce your deliverables in less time.</li>        <li>Enhanced meeting transcript support — Whether you are leading a meeting, participating, or missed it altogether, enhanced meeting transcript support will help you stay in the know and turn meeting insights into takeaway actions. Automatically generate meeting summaries from transcripts to understand main topics, key points, and action items.</li>        </ul>       <p>* Commenting currently is not supported on the mobile experience.</p>       <p>** Learn more about security for Acrobat <a href=""https://www.adobe.com/content/dam/cc/en/trust-center/ungated/whitepapers/doc-cloud/acrobat-dc-security-overview-ue.pdf"" target=""_blank"">here</a>.</p>          <p>The app utilizes the 'onMessageAttachmentsChanged' launch event to improve email collaboration. Specifically, it detects when a PDF is attached to an email and prompts users to convert the PDF into a shareable Adobe Document Cloud public link. </p> ",,,,,,P_95ececa2-8770-8e92-fd40-8983e3c2adab,,,,,,,,,,,,,,,,
Email Assistant,Available,Copilot,2026-06-04 19:05:38Z,2026-06-04 19:05:38Z,"Chavez, Olivia",Shared,1.0.0,"Chavez, Olivia","Summarizes incoming emails in plain English and drafts or rewrites outgoing emails. Keeps communications clear, short, and natural while matching your tone. Always avoids adding facts, deadlines, or commitments you didn’t make, and highlights any missing information or unclear points. Useful for professional, friendly, and straightforward email handling across customers, sales, and internal teams.",Microsoft 365 Copilot Agent Builder,fb6dd682-fcab-46e4-a325-5fc621ed1919,,,,T_f5338c4e-5ec1-0942-4fea-29737d514ab6,,,,,,,,,,,,,,,,
Newsletter Builder,Available,Copilot,2026-06-04 18:01:03Z,2026-06-04 18:01:03Z,"Bell, Terry",Shared,1.0.0,"Clark, Christopher","Helps create a weekly newsletter to be sent out via Outlook. Assists in content curation, formatting, and scheduling for consistent communication.",Microsoft 365 Copilot Agent Builder,ed32e8f8-9509-4b14-af0f-ac750fdf2421,,,,T_e8709e63-0b46-27e3-ae80-a5235ec8dfc3,,,,,,,,,,,,,,,,
PW SIC Automated Meeting Report Agent,Available,,2026-05-22 14:08:11Z,2026-06-04 16:11:23Z,,Shared,1.0,"Martin, Daniel",,Copilot Studio,df701a07-4e31-458e-8880-8f84b41fc697,,f71b00a8-e755-f111-bec6-6045bd08b324,,T_18c1a72b-56eb-d6a4-0d0b-17525726add3,,,,,,,,,,,,,,,,
300 in 3 Reports agent,Available,Teams;Copilot,2026-01-19 17:05:19Z,2026-06-04 15:50:53Z,"Rivera, Amy",Shared,1.0.0,"Henderson, Betty",300 in 3 Reports agent is an agent with knowledge from these sources:   - [Plant Logistics & Rock Supply](https://contoso.sharepoint.com/sites/PlantLogisticsRockSupply) > [Documents](https://contoso.sharepoint.com/sites/PlantLogisticsRockSupply/Shared%20Documents) > [Safety and Compliance](https://contoso.sharepoint.com/sites/PlantLogisticsRockSupply/Shared%20Documents/Safety%20and%20Compliance) > [300 in 3 Reports](https://contoso.sharepoint.com/sites/PlantLogisticsRockSupply/Shared%20Documents/Safety%20and%20Compliance/300%20in%203%20Reports),SharePoint,1265c217-e292-4947-a746-a33dce5031ee,,,,T_ecc26ef5-9f38-29c3-0f8e-017738ebfd39,,,,,,,,,,,,,,,,
Agente Cisco,Draft,,2026-06-04 15:13:36Z,2026-06-04 15:14:22Z,,Shared,1.0,"LEE, ELIZABETH",,Copilot Studio,cd9e985d-f5f9-42de-af98-79dc587f694b,,de1ec7f4-2760-f111-a825-000d3a382db9,,T_91dd4167-49e5-986b-d6c6-162749502a2b,,,,,,,,,,,,,,,,
Asana,Blocked,Outlook;Teams;Copilot,2025-05-10 05:18:25Z,2026-02-20 00:28:06Z,Kelly Foster,ThirdParty,1.3.17,,"With Asana’s collaborative work management platform, your team can stay focused on their goals, projects, and tasks—no matter when or where they work.<br><br>  <strong>What's new</strong><br> <ul>     <li>Asana works with Microsoft 365 Copilot</li>     <li>Embed Asana projects in Teams channels</li> </ul>  <strong>Unblock work with Asana AI + Microsoft 365 Copilot</strong><br> <ul>     <li>Asana AI helps you prioritize work, identify blockers, and summarize project statuses.</li>     <li>Submit any natural language questions to Asana bot and receive a response within seconds.</li>     <li>Access Asana AI in Microsoft Copilot.</li> </ul>  <strong>Make conversations actionable</strong><br> <ul>     <li>Collaborate on Asana tasks and keep work connected</li>     <li>Translate Microsoft Teams conversations into actionable Asana tasks</li>     <li>Comment or mark task as complete on Asana task previews</li> </ul>  <strong>Maximize team visibility</strong><br> <ul>   <li>Embed Asana projects in channels and chats for team collaboration</li>   <li>Preview Asana tasks, projects, portfolios, and status updates</li>   <li>Search for the information you need and share context with stakeholders</li> </ul>  <strong>Stay informed about updates</strong><br> <ul>     <li>Receive and take actions on Asana inbox notifications in Teams</li>     <li>Customize notification preferences per channel to create the right level of team visibility</li> </ul>  <strong>Connect Microsoft Teams to Asana</strong><br> This integration is available for free to all Asana customers with a Microsoft Teams account. <br> <br>  <i>New to Asana?</i> <a href=""https://asana.com/create-account"">Sign up for free ↗️</a><br><br><br>  <strong>Additional resources</strong><br> <a href=""https://asana.com/guide/help/api/microsoft-teams"">Product guide article ↗️</a><br> <a href=""https://academy.asana.com/7-ways-to-use-asana-for-teams"">Asana Academy: 7 ways to use Asana and Microsoft Teams ↗️</a><br> <br>Reach out to <a href=""https://asana.com/support"">Asana Support</a> for additional help<br> ",,,,,,P_c49f86f4-c199-cbfa-0984-905ba9220738,,,,,,,,,,,,,,,,
Wix,Available,Copilot,2026-06-04 08:03:20Z,2026-06-03 10:48:12Z,Donna Hamilton,ThirdParty,1.0.0,,"Build your entire site right from the chat. Just ask Wix for the website you want, including all the functionality you need. You’ll get a complete, business-ready site generated for you in minutes. If you like, you can continue editing it inside the Wix Harmony editor using tons more AI tools and limitless drag and drop. Sign up for a free Wix account to get started >> http://wix.com     },",,,,,,P_07d26519-01f2-6ea1-db79-51999b0c9359,,,,,,,,,,,,,,,,
Excel (Agent),Available,Copilot,2025-11-16 01:00:34Z,2026-06-03 22:11:51Z,Jennifer Lewis,FirstParty,1.0.23,,"<div> <p>The Excel agent for Microsoft Copilot provides a natural-language way of creating workbooks outside of Excel. Describe what you need—like a budget tracker, project plan, or financial model—and the agent builds the structure for you. It sets up sheets, organizes data, and creates working formulas so you can start working immediately.  </p>            </div>",,,,,,P_8d830dc1-9a14-1528-1182-c8e3be94cf5a,,,,,,,,,,,,,,,,
Sales Development (Frontier),Not activated,Copilot,2026-01-16 08:19:54Z,2026-06-03 17:31:07Z,Jennifer Lewis,FirstParty,1.0.9,,"<p>Sales Development Agent (SDA) is your always-on sales assistant, designed to help your team engage more prospects and qualify more leads. It learns from your best practices such as sample emails, product details, qualification criteria, and messaging guidelines, then uses that knowledge to engage prospects, respond to questions, assess fit, and handoff leads to sellers. You stay in full control: test and refine the approach through simulations before going live, then let SDA handle the conversation flow while your team focuses on high-value interactions. Everything stays visible through Microsoft Teams so you can monitor conversations, track qualified leads, and step in whenever you want.</p><p>SDA expands sales development capacity without added operational overhead while keeping governance, control, and data security with your organization. <a href='https://go.microsoft.com/fwlink/?linkid=2344489&clcid=0x409' target='_blank'>Learn more</a>.</p><p>By installing Sales Development Agent, you acknowledge and agree that, where in-region processing capacity or required service components are unavailable, certain data associated with the service may be processed outside your selected geographic region. This consent does not modify, waive, or otherwise affect any existing commitments applicable to customers within the EU Data Boundary.</p><p>If you do not consent to the potential processing of data outside your selected geographic region, you must not install Sales Development Agent. If you wish to revoke such consent, you must uninstall Sales Development Agent.</p><p>If you come across any objectionable AI-generated content, please reach out to us at <a href='mailto:salesagentteam@microsoft.com'>salesagentteam@microsoft.com</a>.</p><br><p><b>Frontier</b></p><p>The new Frontier program gives customers early, hands-on access to experimental Microsoft 365 Copilot innovations right in their own environment. The agents and AI features designated as 'Frontier' are previews, built for evaluation and feedback purposes. As these features are still in development, their availability and capabilities may change at any time. Learn more about how you can help shape the next generation of Microsoft 365 Copilot.</p>",,,,,,P_44314319-35c9-8e6c-bb0a-fae041edd5bf,,,,,,,,,,,,,,,,
Word (Agent),Available,Copilot,2025-11-16 01:00:38Z,2026-06-03 22:10:57Z,Jennifer Lewis,FirstParty,1.0.26,,"<div> <p>The Word agent for Microsoft Copilot provides a natural-language way of creating documents outside of Word. Just describe what you need—like a proposal, report, or newsletter—and the agent creates a well-structured draft with headings, sections, and professional formatting for you to review, finalize, and share.   </p>            </div>",,,,,,P_15f67c5b-bfb1-fbd9-043a-cbb047bb7bd0,,,,,,,,,,,,,,,,
PowerPoint (Agent),Available,Copilot,2025-11-16 01:00:31Z,2026-06-03 22:13:03Z,Jennifer Lewis,FirstParty,1.0.33,,"<div> <p> The PowerPoint agent for Microsoft Copilot provides a natural-language way of creating presentations outside of PowerPoint. Share your topic or goals, and the agent incorporates your work data to build complete decks with layouts, design themes, and slides—ready for you to refine and deliver. </p>            </div>",,,,,,P_54c3f25e-3850-e1e6-231a-aa85fbe9447b,,,,,,,,,,,,,,,,
Tavily,Available,Copilot,2026-06-01 10:02:50Z,2026-05-28 19:11:59Z,Andrea Watson,ThirdParty,1.0.0,,"<p>Tavily brings real-time web knowledge into Microsoft 365 Copilot Chat. Use natural language to search the web, extract content from any URL or crawl pages at depth — without leaving          Copilot.</p>                                                                                                                                                                                                                                                                                                                                                                                                                                          <h3>What's included</h3>                                                                                                                                                                                                   <ul>                                                           <li><strong>Web search</strong> — configurable depth, domain filters, and time-range filters for precise, current results with citations.</li>     <li><strong>Page extraction</strong> — returns full content from one or many URLs as clean markdown or plain text, preserving headings, lists, and code blocks.</li>                                                                                                                                                   <li><strong>Guided crawling</strong> — visits pages at depth and uses natural-language instructions to focus the crawl on relevant content.</li>                                                                         </ul>                                                                                                                                                                                                                                                                                   <h3>Who it's for</h3>                                                                                                                                                                                                      <p>Developers, analysts, and researchers who need fresh, verifiable web information to complement their own enterprise data — or who need to pull structured content from specific pages or sites on demand.</p>                                                                                                                                                                                                                              <h3>Why Tavily</h3>                                                                                                                                                                                                        <p>Tavily returns information-dense, agent-ready results — configurable search depth, per-domain filtering, time-range filtering, full-page markdown extraction, and natural-language-guided      crawling, all purpose-built for AI agents.</p>                                                                                                                                                                                                                                          <h3>Getting started</h3>                                                                                                                                                                                                   <p>On first tool use, Copilot prompts you to sign in to Tavily via OAuth. Includes 1,000 free monthly credits. Manage or purchase additional credits at <a href=""https://tavily.com"">tavily.com</a>. Documentation: <a    href=""https://docs.tavily.com"">docs.tavily.com</a>. Support: <a href=""mailto:support@tavily.com"">support@tavily.com</a>.</p>  ",,,,,,P_395bb373-075d-a8ae-3e77-c6f38e859942,,,,,,,,,,,,,,,,
Mural,Blocked,Teams;Outlook;Office;Copilot,2023-11-20 19:14:50Z,2026-06-03 19:32:35Z,Sean BELL,ThirdParty,2.6.0,,"<b>Seeing is How™ teams get to outcomes faster</b>  Mural puts visual thinking and AI-powered facilitation directly where work happens. Whether the task is running a brainstorm, aligning a distributed team, or synthesizing a complex strategy, Mural  transforms collaboration into structured, outcome-driven sessions within Microsoft Teams, Outlook, and Microsoft 365.  Mural's intuitive workspace and AI-powered tools bring teams into alignment instantly – helping you move from concept to outcome with speed and clarity. Automatically cluster sticky notes by topic, discover new directions on-the-fly with generative mind maps, create concise summaries to synthesize ideas, and much more.  Mural is enterprise-grade, with rigorous security, reliability, compliance, and privacy measures, combined with advanced security and administrative controls – meeting the most stringent IT and regulatory requirements.  With Mural and Microsoft, teams spend less time organizing information and more time acting on it. The shared visual canvas gives everyone a space to contribute, prioritize, and align so that decisions happen faster and work moves forward.  <b>Agents for Microsoft 365 Copilot</b> <li>Use Mural in Microsoft 365 Copilot to search your murals and templates. Sample prompt: Find the retrospective mural I created last week.</li>  <b>Microsoft Teams meeting integration</b> <li>Collaborate on a mural in real-time during a Teams video meeting to increase inclusivity, engagement, and creativity with your team.</li>  <b>Microsoft Teams custom tab integration</b> <li>Embed a mural as a tab to any chat or channel in Teams where you can collaborate visually, and simply reference or return to the mural to keep collaboration going.</li>  <b>Microsoft Teams meeting invitation integration</b> <li>Pin a mural to any Teams calendar meeting invite to share information ahead of time or easily find the right mural for a recurring meeting.</li>  <b>Microsoft Teams notifications bot</b> <li>The Mural bot will send you relevant notifications in Teams: if someone mentions you or invites you to a mural, the Mural bot will let you know by sending you a private chat message.</li>  <b>Microsoft Teams personal app integration</b> <li>In the personal app, access and work on any mural just as you would in the Mural web app, right within Teams.</li>  <b>Microsoft Teams messaging extension</b> <li>Add Mural templates to all of your projects, meetings and workshops. Search, share, and create murals from templates directly in Teams.</li>  <b>Personal app integration in Microsoft Outlook and Microsoft 365</b> <li>In the personal app, access and work on any mural just as you would in the Mural web app, right within Outlook and Microsoft 365.</li>  <b>Messaging extension in Microsoft Outlook</b> <li>Add Mural templates to email communications. Search for, and share templates directly in Outlook by using the Mural messaging extension.</li>  NOTE: In order to use this app, you need to be a member of Mural. Get started for free (https://mural.co/)",,,,,,P_ce281f3a-58ca-17bc-87ef-1e14e94ec2cc,,,,,,,,,,,,,,,,
Polivada,Available,Copilot,2026-06-03 12:03:34Z,2026-06-03 08:04:05Z,Rebecca Alvarez,ThirdParty,3.5.55,,"<p>Your UK public affairs team is spending up to 20 hours a week on manual research - trawling Parliament's website, Googling MPs, copy-pasting from Hansard, compiling briefings in Word. That's not strategy. That's data entry.</p>  <p>Polivada is an AI-powered UK parliamentary intelligence platform that turns hours of manual research into minutes - available directly within Microsoft Copilot and Microsoft Teams.</p>  <b>What Polivada does</b> <p>Polivada connects to official UK Parliament APIs and makes parliamentary data searchable, analysable, and actionable through natural language. Ask Polivada to find every MP who has spoken about a topic, draft a briefing for an upcoming meeting, or surface all written questions on your sector — and get cited, source-linked results in seconds.</p>  <b>Key benefits</b> <ul> <li><b>Hours saved every week</b> - what used to take a morning now takes minutes. Search across debates, written questions, committee proceedings, Early Day Motions, and MP profiles without leaving Copilot.</li> <li><b>Briefings in seconds</b> - generate full MP and Lord briefing packs including biography, career history, parliamentary roles, and registered financial interests on demand.</li> <li><b>Never miss what matters</b> - use AI-powered semantic search to find relevant parliamentary activity by concept, not just keyword. </li> </ul>  <b>Capabilities within Microsoft Copilot and Teams</b> <ul> <li>Natural language search across all UK parliamentary content types</li> <li>MP and Lord profile lookup and briefing generation</li> <li>Debate and speech search with sector and policy theme filters</li> <li>Written questions and answers retrieval by department or keyword</li> <li>Committee session and oral evidence tracking</li> <li>Early Day Motion search by sponsor, signatory, or keyword</li> <li>Curated research collections - analyse your curated data to create powerful reports</li> <li>Multiple API tools covering key public affairs use cases</li> </ul>  <b>Who it's for</b> <p>Polivada is designed for government affairs and public affairs professionals at UK corporates, trade bodies, and consultancies who need to stay ahead of parliamentary activity relevant to their organisation and brief stakeholders at short notice.</p>  <b>Getting started</b> <p>To use Polivada within Microsoft Copilot, users must first register for an active Polivada account and subscription at <a href=""https://app.polivada.ai"">app.polivada.ai</a>. Sign in using your existing Microsoft credentials — no separate password required. Once your account has been approved, the Polivada agent for Microsoft Copilot is available immediately within Microsoft Copilot.</p>  <p>For more information, to request a demo, or to get started, visit <a href=""https://polivada.ai"">polivada.ai</a> or contact us at <a href=""mailto:support@polivada.ai"">support@polivada.ai</a>.</p>  <p><b>Account requirement:</b> An active Polivada account and subscription is required to use this app. Please contact us at <a href=""mailto:support@polivada.ai"">support@polivada.ai</a> for more details.</p>",,,,,,P_442cee20-fdd0-b84e-b85d-bc12a03125e4,,,,,,,,,,,,,,,,
